Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
170,"[13.13, 80.24]",106,14,18017.082,0.5338,Chennai,Rejected,0.0,0.146515,0.061877999999999996,0.0
171,"[12.95, 80.25]",80,8,16536.3025,0.5074,Chennai,Rejected,0.0,0.21694699999999997,0.102995,0.0
172,"[12.96, 80.25]",161,27,25165.8606,0.5858,Chennai,Urban,0.501096,0.498904,0.0,3.0
173,"[12.97, 80.25]",164,18,26956.1953,0.544,Chennai,PeriUrban,0.17969300000000002,0.820307,0.0,2.0
174,"[12.98, 80.25]",164,27,28974.6558,0.5827,Chennai,PeriUrban,0.0,0.8991959999999999,0.10080399999999999,2.0
175,"[12.99, 80.25]",177,36,28507.0577,0.6318,Chennai,PeriUrban,0.0,0.727538,0.272462,2.0
176,"[13.0, 80.25]",100,41,25389.7866,0.6297,Chennai,Rural,0.0,0.466764,0.5332359999999999,0.0
177,"[13.01, 80.25]",44,4,9750.4154,0.3809,Chennai,Rural,0.0,0.0,1.0,0.0
178,"[13.02, 80.25]",101,14,19435.8395,0.6212,Chennai,Rural,0.0,0.163623,0.836377,0.0
179,"[13.03, 80.25]",138,19,23177.7943,0.6583,Chennai,PeriUrban,0.0,0.8502559999999999,0.14974400000000002,2.0
180,"[13.04, 80.25]",143,29,24108.3551,0.5622,Chennai,PeriUrban,0.010669,0.962304,0.027027,1.0
181,"[13.05, 80.25]",151,23,24384.6085,0.5166,Chennai,PeriUrban,0.018262,0.9817379999999999,0.0,1.0
182,"[13.06, 80.25]",117,12,19987.2638,0.5096,Chennai,Rural,0.0,0.41782299999999994,0.5821770000000001,0.0
183,"[13.07, 80.25]",105,21,19588.9516,0.5947,Chennai,PeriUrban,0.0,0.940833,0.059167,1.0
184,"[13.08, 80.25]",142,20,23240.4267,0.647,Chennai,PeriUrban,0.467495,0.532505,0.0,3.0
185,"[13.09, 80.25]",194,47,29218.2144,0.6358,Chennai,Urban,0.778671,0.221329,0.0,5.0
186,"[13.1, 80.25]",76,10,12981.0075,0.5517,Chennai,PeriUrban,0.0,0.8612129999999999,0.138787,1.0
187,"[13.11, 80.25]",257,36,31289.3968,0.6634,Chennai,Urban,0.529584,0.470416,0.0,3.0
188,"[13.12, 80.25]",194,66,33397.3939,0.6246,Chennai,PeriUrban,0.26515700000000003,0.32505500000000004,0.0,2.0
189,"[13.13, 80.25]",140,21,20595.1109,0.5929,Chennai,Rejected,0.0,0.0,0.0,0.0
190,"[12.95, 80.26]",18,0,4089.9321,0.4708,Chennai,Rejected,0.0,0.004383,0.141709,0.0
191,"[12.96, 80.26]",103,12,12657.9703,0.6131,Chennai,Rejected,0.0,0.132213,0.296567,0.0
192,"[12.97, 80.26]",121,26,17436.1496,0.6025,Chennai,Rural,0.0,0.3813,0.299489,0.0
193,"[12.98, 80.26]",80,14,15023.3395,0.6116,Chennai,Rural,0.0,0.485756,0.43170200000000003,0.0
194,"[12.99, 80.26]",144,26,23197.0351,0.6423,Chennai,PeriUrban,0.0,0.644266,0.355734,2.0
195,"[13.0, 80.26]",93,17,18050.6212,0.5594,Chennai,Rural,0.0,0.134405,0.8655950000000001,0.0
196,"[13.01, 80.26]",39,1,8665.6408,0.4217,Chennai,Rural,0.0,0.0,0.958364,0.0
197,"[13.02, 80.26]",158,40,26270.05,0.5657,Chennai,PeriUrban,0.0014609999999999998,0.743608,0.254931,2.0
198,"[13.03, 80.26]",146,25,23965.0437,0.6298,Chennai,PeriUrban,0.108108,0.891892,0.0,2.0
199,"[13.04, 80.26]",115,25,23677.9214,0.613,Chennai,PeriUrban,0.20625900000000003,0.793741,0.0,2.0
200,"[13.05, 80.26]",142,30,23838.6126,0.604,Chennai,Urban,0.519357,0.48064300000000004,0.0,3.0
201,"[13.06, 80.26]",148,35,25799.2293,0.5529999999999999,Chennai,PeriUrban,0.39006599999999997,0.599708,0.010226,3.0
202,"[13.07, 80.26]",171,44,27889.5085,0.5307,Chennai,PeriUrban,0.183346,0.816654,0.0,2.0
203,"[13.08, 80.26]",122,24,20723.278000000002,0.6097,Chennai,PeriUrban,0.094229,0.9057709999999999,0.0,2.0
204,"[13.09, 80.26]",223,56,27715.2733,0.7024,Chennai,Urban,0.7888970000000001,0.211103,0.0,4.0
205,"[13.1, 80.26]",180,57,26288.4638,0.5472,Chennai,PeriUrban,0.247626,0.752374,0.0,2.0
206,"[13.11, 80.26]",163,31,24340.7596,0.6366,Chennai,PeriUrban,0.295106,0.7048939999999999,0.0,2.0
207,"[13.12, 80.26]",124,58,24612.6585,0.6301,Chennai,PeriUrban,0.036523,0.607743,0.004383,2.0
208,"[13.13, 80.26]",67,6,7645.2858,0.4652,Chennai,Rejected,0.0,0.0,0.0,0.0
209,"[12.95, 80.27]",0,0,0.0,0.1866,Chennai,Rejected,0.0,0.0,0.0,0.0
210,"[12.96, 80.27]",0,0,0.0,0.2444,Chennai,Rejected,0.0,0.0,0.0,0.0
211,"[12.97, 80.27]",0,0,0.0,0.2223,Chennai,Rejected,0.0,0.0,0.0,0.0
212,"[12.98, 80.27]",0,0,16.4132,0.243,Chennai,Rejected,0.0,0.0,0.004383,0.0
213,"[12.99, 80.27]",16,2,3355.0252,0.4634,Chennai,Rejected,0.0,0.0,0.148283,0.0
214,"[13.0, 80.27]",41,5,7435.0353,0.4325,Chennai,Rejected,0.0,0.0,0.39737,0.0
215,"[13.01, 80.27]",21,4,5125.2669,0.1666,Chennai,Rejected,0.0,0.0,0.501096,0.0
216,"[13.02, 80.27]",126,23,19381.9442,0.6373,Chennai,Rural,0.029218,0.454346,0.43462399999999995,0.0
217,"[13.03, 80.27]",142,15,20421.2678,0.6551,Chennai,Urban,0.512053,0.468225,0.017531,3.0
218,"[13.04, 80.27]",167,27,26554.8795,0.5605,Chennai,PeriUrban,0.15505,0.7553340000000001,0.089616,2.0
219,"[13.05, 80.27]",262,31,31117.8656,0.6891,Chennai,Urban,0.826881,0.173119,0.0,5.0
220,"[13.06, 80.27]",192,43,25170.7363,0.5742,Chennai,Urban,0.65084,0.316289,0.032871,3.0
221,"[13.07, 80.27]",116,24,22265.1197,0.4949,Chennai,PeriUrban,0.11102999999999999,0.60336,0.28561,1.0
222,"[13.08, 80.27]",176,20,24627.4977,0.541,Chennai,Urban,0.53908,0.46092,0.0,3.0
223,"[13.09, 80.27]",126,42,22326.7982,0.5589999999999999,Chennai,PeriUrban,0.46019,0.53981,0.0,3.0
224,"[13.1, 80.27]",127,26,21726.3564,0.5852,Chennai,PeriUrban,0.130752,0.772827,0.096421,2.0
225,"[13.11, 80.27]",191,29,25355.13,0.5238,Chennai,PeriUrban,0.392988,0.607012,0.0,3.0
226,"[13.12, 80.27]",174,30,23929.2391,0.4734,Chennai,PeriUrban,0.29291500000000004,0.53908,0.008766,2.0
227,"[13.13, 80.27]",47,8,10313.3022,0.3864,Chennai,Rejected,0.0,0.0,0.0,0.0
228,"[12.95, 80.28]",0,0,0.0,0.0,Chennai,Rejected,0.0,0.0,0.0,0.0
229,"[12.96, 80.28]",0,0,0.0,0.0,Chennai,Rejected,0.0,0.0,0.0,0.0
230,"[12.97, 80.28]",0,0,0.0,0.1293,Chennai,Rejected,0.0,0.0,0.0,0.0
231,"[12.98, 80.28]",0,0,0.0,0.075,Chennai,Rejected,0.0,0.0,0.0,0.0
232,"[12.99, 80.28]",0,0,0.0,0.1632,Chennai,Rejected,0.0,0.0,0.0,0.0
