Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio
174,"[22.55, 88.39]",38,3,11133.8236,0.5243
175,"[22.56, 88.39]",82,4,14549.6868,0.6694
176,"[22.57, 88.39]",318,25,30425.737,0.5969
177,"[22.58, 88.39]",249,47,29989.1217,0.4233
178,"[22.59, 88.39]",254,28,30039.7002,0.4875
179,"[22.6, 88.39]",174,20,20033.8617,0.5553
180,"[22.61, 88.39]",201,8,20641.1176,0.5166
181,"[22.62, 88.39]",109,7,17451.0612,0.5275
182,"[22.49, 88.4]",151,25,20263.528,0.5872
183,"[22.5, 88.4]",113,17,18403.503,0.6154
184,"[22.51, 88.4]",171,16,21796.431,0.594
185,"[22.52, 88.4]",14,3,4916.451,0.348
186,"[22.53, 88.4]",15,0,5828.9553,0.3529
187,"[22.54, 88.4]",6,3,4869.4837,0.485
188,"[22.55, 88.4]",57,23,14390.837,0.5553
189,"[22.56, 88.4]",71,9,15616.4776,0.4488
190,"[22.57, 88.4]",378,28,34695.6361,0.5519
191,"[22.58, 88.4]",315,22,32961.5904,0.5826
192,"[22.59, 88.4]",223,29,30276.2216,0.4809
193,"[22.6, 88.4]",223,28,27727.5236,0.5927
194,"[22.61, 88.4]",207,16,27200.9744,0.5025
195,"[22.62, 88.4]",145,8,20040.89,0.4675
