District_name,%Increase C1 Grid Density,%Increase C2 Grid Density,%Increase C3 Grid Density,%Increase C4 Grid Density,%Increase C5 Grid Density
Bangalore,108.69082840236686,-25.09457755359394,-8.875739644970409,-56.06508875739645,0.0
Chennai,24.825174825174827,-31.521739130434778,0.7575757575757708,-4.545454545454537,52.72727272727275
Delhi,-2.7891955372871546,3.595085470085465,17.09991158267021,-25.57692307692308,-1.1287625418060196
Gurgaon,31.808278867102402,-19.117647058823533,-13.725490196078432,-51.47058823529412,-2.941176470588229
Hyderabad,146.1693548387097,-19.90662139219016,5.313092979127139,-10.483870967741934,10.578747628083491
Kolkata,27.185792349726785,-19.672131147540977,20.49180327868853,-35.73770491803279,12.459016393442624
Mumbai,-3.964221445961682,21.6318407960199,-11.928164057759982,-4.97512437810945,11.99360341151387
