Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio
197,"[13.02, 80.26]",158,40,26270.05,0.5657
198,"[13.03, 80.26]",146,25,23965.0437,0.6298
199,"[13.04, 80.26]",115,25,23677.9214,0.613
200,"[13.05, 80.26]",142,30,23838.6126,0.604
201,"[13.06, 80.26]",148,35,25799.2293,0.553
202,"[13.07, 80.26]",171,44,27889.5085,0.5307
203,"[13.08, 80.26]",122,24,20723.278,0.6097
204,"[13.09, 80.26]",223,56,27715.2733,0.7024
205,"[13.1, 80.26]",180,57,26288.4638,0.5472
206,"[13.11, 80.26]",163,31,24340.7596,0.6366
207,"[13.12, 80.26]",124,58,24612.6585,0.6301
208,"[13.13, 80.26]",67,6,7645.2858,0.4652
209,"[12.95, 80.27]",0,0,0.0,0.1866
210,"[12.96, 80.27]",0,0,0.0,0.2444
211,"[12.97, 80.27]",0,0,0.0,0.2223
212,"[12.98, 80.27]",0,0,16.4132,0.243
213,"[12.99, 80.27]",16,2,3355.0252,0.4634
214,"[13.0, 80.27]",41,5,7435.0353,0.4325
215,"[13.01, 80.27]",21,4,5125.2669,0.1666
216,"[13.02, 80.27]",126,23,19381.9442,0.6373
217,"[13.03, 80.27]",142,15,20421.2678,0.6551
218,"[13.04, 80.27]",167,27,26554.8795,0.5605
219,"[13.05, 80.27]",262,31,31117.8656,0.6891
220,"[13.06, 80.27]",192,43,25170.7363,0.5742
221,"[13.07, 80.27]",116,24,22265.1197,0.4949
222,"[13.08, 80.27]",176,20,24627.4977,0.541
223,"[13.09, 80.27]",126,42,22326.7982,0.559
224,"[13.1, 80.27]",127,26,21726.3564,0.5852
225,"[13.11, 80.27]",191,29,25355.13,0.5238
226,"[13.12, 80.27]",174,30,23929.2391,0.4734
227,"[13.13, 80.27]",47,8,10313.3022,0.3864
228,"[12.95, 80.28]",0,0,0.0,0.0
229,"[12.96, 80.28]",0,0,0.0,0.0
230,"[12.97, 80.28]",0,0,0.0,0.1293
231,"[12.98, 80.28]",0,0,0.0,0.075
232,"[12.99, 80.28]",0,0,0.0,0.1632
233,"[13.0, 80.28]",0,0,0.0,0.2189
234,"[13.01, 80.28]",0,0,0.0,0.1573
235,"[13.02, 80.28]",0,0,0.0,0.3636
236,"[13.03, 80.28]",1,0,403.7016,0.4172
237,"[13.04, 80.28]",7,6,3801.1268,0.4218
238,"[13.05, 80.28]",34,16,9041.3196,0.4155
239,"[13.06, 80.28]",35,19,12593.3585,0.4207
240,"[13.07, 80.28]",54,11,15678.1338,0.5074
241,"[13.08, 80.28]",97,15,22169.3189,0.4766
242,"[13.09, 80.28]",165,57,29716.7222,0.7015
243,"[13.1, 80.28]",143,33,23951.2675,0.5412
244,"[13.11, 80.28]",218,52,29283.059,0.6855
245,"[13.12, 80.28]",90,12,15885.3368,0.56
246,"[13.13, 80.28]",83,9,12785.9283,0.4503
247,"[12.95, 80.29]",0,0,0.0,0.0
248,"[12.96, 80.29]",0,0,0.0,0.0
249,"[12.97, 80.29]",0,0,0.0,0.0
250,"[12.98, 80.29]",0,0,0.0,0.0
251,"[12.99, 80.29]",0,0,0.0,0.0
252,"[13.0, 80.29]",0,0,0.0,0.0
253,"[13.01, 80.29]",0,0,0.0,0.0
254,"[13.02, 80.29]",0,0,0.0,0.1415
255,"[13.03, 80.29]",0,0,0.0,0.1689
256,"[13.04, 80.29]",0,0,0.0,0.0752
257,"[13.05, 80.29]",0,0,0.0,0.2552
258,"[13.06, 80.29]",0,0,0.0,0.2298
259,"[13.07, 80.29]",2,0,1350.86,0.4053
260,"[13.08, 80.29]",9,3,4429.8904,0.5393
261,"[13.09, 80.29]",55,22,13180.7127,0.2889
262,"[13.1, 80.29]",57,29,16064.2654,0.3704
263,"[13.11, 80.29]",103,33,19697.4424,0.5713
264,"[13.12, 80.29]",158,11,20335.3649,0.625
265,"[13.13, 80.29]",110,26,19545.433,0.6277
266,"[12.95, 80.3]",0,0,0.0,0.0
267,"[12.96, 80.3]",0,0,0.0,0.0
268,"[12.97, 80.3]",0,0,0.0,0.0
269,"[12.98, 80.3]",0,0,0.0,0.0
270,"[12.99, 80.3]",0,0,0.0,0.0
271,"[13.0, 80.3]",0,0,0.0,0.0
272,"[13.01, 80.3]",0,0,0.0,0.0
273,"[13.02, 80.3]",0,0,0.0,0.0
274,"[13.03, 80.3]",0,0,0.0,0.0
275,"[13.04, 80.3]",0,0,0.0,0.0
276,"[13.05, 80.3]",0,0,0.0,0.0
277,"[13.06, 80.3]",0,0,0.0,0.1583
278,"[13.07, 80.3]",0,0,0.0,0.0786
279,"[13.08, 80.3]",0,0,0.0,0.2898
280,"[13.09, 80.3]",0,0,1019.9335,0.3986
281,"[13.1, 80.3]",0,0,521.8945,0.4672
282,"[13.11, 80.3]",0,0,1172.3622,0.5029
283,"[13.12, 80.3]",0,0,956.5836,0.5001
284,"[13.13, 80.3]",0,0,514.2904,0.3456
